DOCdate,DOCAmount,HouseArea,Density,BirdsVariety,HESource,HEAge,Age,Harveststatus,EstimatedSlaughterDate ,FarmName,FarmSupervisor,HouseAmount,Batch,Mortality_flg
"01.2024-12-30,2024-..",04.[30400.0 ~ 32000.0),02.[1862.0 ~ 2388.0),00.[-inf ~ 14.739583333333334),"00.Cobb500,Cobb","00.L4,L3","01.50.0,42W,28.0,44..",01.[37.0 ~ 38.0),"02.2025-01-03,2024-..","01.2025-02-13,2025-..","01.G28,G1B,G08,G21,..","01.陈智,余涛,李豪,张换吉,丁家保..",00.[-inf ~ 12.0),01.[51.0 ~ 61.0),0
"01.2024-12-30,2024-..",05.[32000.0 ~ 36200.0),02.[1862.0 ~ 2388.0),01.[14.739583333333334 ~ inf),"02.cobb,SZ901PLUS,S..","01.L5,L1,L7,大岭头,大岗垅..","01.50.0,42W,28.0,44..",01.[37.0 ~ 38.0),"02.2025-01-03,2024-..","01.2025-02-13,2025-..","01.G28,G1B,G08,G21,..","01.陈智,余涛,李豪,张换吉,丁家保..",00.[-inf ~ 12.0),01.[51.0 ~ 61.0),0
"01.2024-12-30,2024-..",04.[30400.0 ~ 32000.0),02.[1862.0 ~ 2388.0),01.[14.739583333333334 ~ inf),"00.Cobb500,Cobb","00.L4,L3","01.50.0,42W,28.0,44..",01.[37.0 ~ 38.0),"02.2025-01-03,2024-..","01.2025-02-13,2025-..","01.G28,G1B,G08,G21,..","01.陈智,余涛,李豪,张换吉,丁家保..",00.[-inf ~ 12.0),01.[51.0 ~ 61.0),0
"01.2024-12-30,2024-..",04.[30400.0 ~ 32000.0),02.[1862.0 ~ 2388.0),01.[14.739583333333334 ~ inf),"00.Cobb500,Cobb","00.L4,L3","00.35.0,51.0,52.0,3..",01.[37.0 ~ 38.0),"01.2025-02-14,2025-..","01.2025-02-13,2025-..","01.G28,G1B,G08,G21,..","01.陈智,余涛,李豪,张换吉,丁家保..",00.[-inf ~ 12.0),01.[51.0 ~ 61.0),0
"01.2024-12-30,2024-..",04.[30400.0 ~ 32000.0),02.[1862.0 ~ 2388.0),00.[-inf ~ 14.739583333333334),"00.Cobb500,Cobb","00.L4,L3","01.50.0,42W,28.0,44..",01.[37.0 ~ 38.0),"02.2025-01-03,2024-..","01.2025-02-13,2025-..","01.G28,G1B,G08,G21,..","01.陈智,余涛,李豪,张换吉,丁家保..",00.[-inf ~ 12.0),01.[51.0 ~ 61.0),0
"01.2024-12-30,2024-..",04.[30400.0 ~ 32000.0),02.[1862.0 ~ 2388.0),01.[14.739583333333334 ~ inf),"00.Cobb500,Cobb","00.L4,L3","00.35.0,51.0,52.0,3..",01.[37.0 ~ 38.0),"01.2025-02-14,2025-..","01.2025-02-13,2025-..","01.G28,G1B,G08,G21,..","01.陈智,余涛,李豪,张换吉,丁家保..",00.[-inf ~ 12.0),01.[51.0 ~ 61.0),0
"01.2024-12-30,2024-..",04.[30400.0 ~ 32000.0),02.[1862.0 ~ 2388.0),00.[-inf ~ 14.739583333333334),"00.Cobb500,Cobb","00.L4,L3","00.35.0,51.0,52.0,3..",01.[37.0 ~ 38.0),"01.2025-02-14,2025-..","01.2025-02-13,2025-..","01.G28,G1B,G08,G21,..","01.陈智,余涛,李豪,张换吉,丁家保..",00.[-inf ~ 12.0),01.[51.0 ~ 61.0),0
"02.2025-01-13,2025-..",05.[32000.0 ~ 36200.0),02.[1862.0 ~ 2388.0),01.[14.739583333333334 ~ inf),"02.cobb,SZ901PLUS,S..","02.L6,天门,元岱二,牛苦坑,天河..","06.38.0,45W,37W,43W..",01.[37.0 ~ 38.0),"02.2025-01-03,2024-..","02.2025-02-20,2024-..","01.G28,G1B,G08,G21,..","02.杨文杰,刘乾乾,高阳阳,杨健健,..",01.[12.0 ~ inf),03.[65.0 ~ inf),0
"02.2025-01-13,2025-..",02.[28900.0 ~ 29400.0),02.[1862.0 ~ 2388.0),00.[-inf ~ 14.739583333333334),"00.Cobb500,Cobb","01.L5,L1,L7,大岭头,大岗垅..","03.41W,57.0,44-45,4..",00.[-inf ~ 37.0),"02.2025-01-03,2024-..","01.2025-02-13,2025-..","01.G28,G1B,G08,G21,..","02.杨文杰,刘乾乾,高阳阳,杨健健,..",01.[12.0 ~ inf),03.[65.0 ~ inf),0
"02.2025-01-13,2025-..",04.[30400.0 ~ 32000.0),02.[1862.0 ~ 2388.0),01.[14.739583333333334 ~ inf),"02.cobb,SZ901PLUS,S..","02.L6,天门,元岱二,牛苦坑,天河..","06.38.0,45W,37W,43W..",01.[37.0 ~ 38.0),"02.2025-01-03,2024-..","02.2025-02-20,2024-..","01.G28,G1B,G08,G21,..","02.杨文杰,刘乾乾,高阳阳,杨健健,..",01.[12.0 ~ inf),03.[65.0 ~ inf),0
"02.2025-01-13,2025-..",01.[26400.0 ~ 28900.0),02.[1862.0 ~ 2388.0),00.[-inf ~ 14.739583333333334),"00.Cobb500,Cobb","01.L5,L1,L7,大岭头,大岗垅..","03.41W,57.0,44-45,4..",00.[-inf ~ 37.0),"02.2025-01-03,2024-..","01.2025-02-13,2025-..","01.G28,G1B,G08,G21,..","02.杨文杰,刘乾乾,高阳阳,杨健健,..",01.[12.0 ~ inf),03.[65.0 ~ inf),0
"02.2025-01-13,2025-..",04.[30400.0 ~ 32000.0),02.[1862.0 ~ 2388.0),01.[14.739583333333334 ~ inf),"01.Cobb 500,SZ901Pl..","01.L5,L1,L7,大岭头,大岗垅..","07.48W,29-30,53W,28..",00.[-inf ~ 37.0),"02.2025-01-03,2024-..","01.2025-02-13,2025-..","01.G28,G1B,G08,G21,..","02.杨文杰,刘乾乾,高阳阳,杨健健,..",01.[12.0 ~ inf),03.[65.0 ~ inf),1
"02.2025-01-13,2025-..",01.[26400.0 ~ 28900.0),02.[1862.0 ~ 2388.0),00.[-inf ~ 14.739583333333334),"00.Cobb500,Cobb","01.L5,L1,L7,大岭头,大岗垅..","03.41W,57.0,44-45,4..",00.[-inf ~ 37.0),"02.2025-01-03,2024-..","01.2025-02-13,2025-..","01.G28,G1B,G08,G21,..","02.杨文杰,刘乾乾,高阳阳,杨健健,..",01.[12.0 ~ inf),03.[65.0 ~ inf),0
"02.2025-01-13,2025-..",04.[30400.0 ~ 32000.0),02.[1862.0 ~ 2388.0),01.[14.739583333333334 ~ inf),"01.Cobb 500,SZ901Pl..","01.L5,L1,L7,大岭头,大岗垅..","07.48W,29-30,53W,28..",00.[-inf ~ 37.0),"02.2025-01-03,2024-..","01.2025-02-13,2025-..","01.G28,G1B,G08,G21,..","02.杨文杰,刘乾乾,高阳阳,杨健健,..",01.[12.0 ~ inf),03.[65.0 ~ inf),0
"01.2024-12-30,2024-..",03.[29400.0 ~ 30400.0),02.[1862.0 ~ 2388.0),00.[-inf ~ 14.739583333333334),"02.cobb,SZ901PLUS,S..","01.L5,L1,L7,大岭头,大岗垅..","01.50.0,42W,28.0,44..",00.[-inf ~ 37.0),"01.2025-02-14,2025-..","01.2025-02-13,2025-..","01.G28,G1B,G08,G21,..","02.杨文杰,刘乾乾,高阳阳,杨健健,..",01.[12.0 ~ inf),03.[65.0 ~ inf),0
"02.2025-01-13,2025-..",04.[30400.0 ~ 32000.0),02.[1862.0 ~ 2388.0),01.[14.739583333333334 ~ inf),"01.Cobb 500,SZ901Pl..","02.L6,天门,元岱二,牛苦坑,天河..","02.50W,43.0,30-31W,..",00.[-inf ~ 37.0),"02.2025-01-03,2024-..","01.2025-02-13,2025-..","01.G28,G1B,G08,G21,..","02.杨文杰,刘乾乾,高阳阳,杨健健,..",01.[12.0 ~ inf),03.[65.0 ~ inf),0
"01.2024-12-30,2024-..",03.[29400.0 ~ 30400.0),02.[1862.0 ~ 2388.0),01.[14.739583333333334 ~ inf),"02.cobb,SZ901PLUS,S..","01.L5,L1,L7,大岭头,大岗垅..","01.50.0,42W,28.0,44..",00.[-inf ~ 37.0),"01.2025-02-14,2025-..","01.2025-02-13,2025-..","01.G28,G1B,G08,G21,..","02.杨文杰,刘乾乾,高阳阳,杨健健,..",01.[12.0 ~ inf),03.[65.0 ~ inf),0
"02.2025-01-13,2025-..",04.[30400.0 ~ 32000.0),02.[1862.0 ~ 2388.0),01.[14.739583333333334 ~ inf),"02.cobb,SZ901PLUS,S..","02.L6,天门,元岱二,牛苦坑,天河..","02.50W,43.0,30-31W,..",00.[-inf ~ 37.0),"02.2025-01-03,2024-..","01.2025-02-13,2025-..","01.G28,G1B,G08,G21,..","02.杨文杰,刘乾乾,高阳阳,杨健健,..",01.[12.0 ~ inf),03.[65.0 ~ inf),0
"01.2024-12-30,2024-..",03.[29400.0 ~ 30400.0),02.[1862.0 ~ 2388.0),01.[14.739583333333334 ~ inf),"02.cobb,SZ901PLUS,S..","01.L5,L1,L7,大岭头,大岗垅..","01.50.0,42W,28.0,44..",00.[-inf ~ 37.0),"01.2025-02-14,2025-..","01.2025-02-13,2025-..","01.G28,G1B,G08,G21,..","02.杨文杰,刘乾乾,高阳阳,杨健健,..",01.[12.0 ~ inf),03.[65.0 ~ inf),0
"02.2025-01-13,2025-..",03.[29400.0 ~ 30400.0),02.[1862.0 ~ 2388.0),01.[14.739583333333334 ~ inf),"02.cobb,SZ901PLUS,S..","02.L6,天门,元岱二,牛苦坑,天河..","05.30W,26/27,65-66,..",01.[37.0 ~ 38.0),"02.2025-01-03,2024-..","02.2025-02-20,2024-..","01.G28,G1B,G08,G21,..","01.陈智,余涛,李豪,张换吉,丁家保..",01.[12.0 ~ inf),03.[65.0 ~ inf),1
"02.2025-01-13,2025-..",05.[32000.0 ~ 36200.0),03.[2388.0 ~ inf),01.[14.739583333333334 ~ inf),"00.Cobb500,Cobb","00.L4,L3","02.50W,43.0,30-31W,..",01.[37.0 ~ 38.0),"02.2025-01-03,2024-..","02.2025-02-20,2024-..","01.G28,G1B,G08,G21,..","01.陈智,余涛,李豪,张换吉,丁家保..",01.[12.0 ~ inf),03.[65.0 ~ inf),0
"02.2025-01-13,2025-..",05.[32000.0 ~ 36200.0),03.[2388.0 ~ inf),01.[14.739583333333334 ~ inf),"00.Cobb500,Cobb","00.L4,L3","02.50W,43.0,30-31W,..",01.[37.0 ~ 38.0),"02.2025-01-03,2024-..","02.2025-02-20,2024-..","01.G28,G1B,G08,G21,..","01.陈智,余涛,李豪,张换吉,丁家保..",01.[12.0 ~ inf),03.[65.0 ~ inf),0
"00.2024-11-01,2024-..",05.[32000.0 ~ 36200.0),03.[2388.0 ~ inf),00.[-inf ~ 14.739583333333334),"02.cobb,SZ901PLUS,S..","02.L6,天门,元岱二,牛苦坑,天河..","03.41W,57.0,44-45,4..",01.[37.0 ~ 38.0),"02.2025-01-03,2024-..","01.2025-02-13,2025-..","01.G28,G1B,G08,G21,..","01.陈智,余涛,李豪,张换吉,丁家保..",01.[12.0 ~ inf),03.[65.0 ~ inf),0
"00.2024-11-01,2024-..",05.[32000.0 ~ 36200.0),03.[2388.0 ~ inf),00.[-inf ~ 14.739583333333334),"02.cobb,SZ901PLUS,S..","02.L6,天门,元岱二,牛苦坑,天河..","03.41W,57.0,44-45,4..",01.[37.0 ~ 38.0),"02.2025-01-03,2024-..","01.2025-02-13,2025-..","01.G28,G1B,G08,G21,..","01.陈智,余涛,李豪,张换吉,丁家保..",01.[12.0 ~ inf),03.[65.0 ~ inf),0
"00.2024-11-01,2024-..",05.[32000.0 ~ 36200.0),03.[2388.0 ~ inf),00.[-inf ~ 14.739583333333334),"02.cobb,SZ901PLUS,S..","02.L6,天门,元岱二,牛苦坑,天河..","03.41W,57.0,44-45,4..",01.[37.0 ~ 38.0),"02.2025-01-03,2024-..","01.2025-02-13,2025-..","01.G28,G1B,G08,G21,..","01.陈智,余涛,李豪,张换吉,丁家保..",01.[12.0 ~ inf),03.[65.0 ~ inf),0
"02.2025-01-13,2025-..",06.[36200.0 ~ 39900.0),03.[2388.0 ~ inf),01.[14.739583333333334 ~ inf),"02.cobb,SZ901PLUS,S..","01.L5,L1,L7,大岭头,大岗垅..","06.38.0,45W,37W,43W..",01.[37.0 ~ 38.0),"02.2025-01-03,2024-..","02.2025-02-20,2024-..","01.G28,G1B,G08,G21,..","01.陈智,余涛,李豪,张换吉,丁家保..",01.[12.0 ~ inf),03.[65.0 ~ inf),1
"02.2025-01-13,2025-..",01.[26400.0 ~ 28900.0),02.[1862.0 ~ 2388.0),00.[-inf ~ 14.739583333333334),"02.cobb,SZ901PLUS,S..","02.L6,天门,元岱二,牛苦坑,天河..","06.38.0,45W,37W,43W..",01.[37.0 ~ 38.0),"02.2025-01-03,2024-..","02.2025-02-20,2024-..","01.G28,G1B,G08,G21,..","01.陈智,余涛,李豪,张换吉,丁家保..",01.[12.0 ~ inf),03.[65.0 ~ inf),0
"02.2025-01-13,2025-..",04.[30400.0 ~ 32000.0),02.[1862.0 ~ 2388.0),01.[14.739583333333334 ~ inf),"02.cobb,SZ901PLUS,S..","01.L5,L1,L7,大岭头,大岗垅..","01.50.0,42W,28.0,44..",01.[37.0 ~ 38.0),"02.2025-01-03,2024-..","02.2025-02-20,2024-..","01.G28,G1B,G08,G21,..","01.陈智,余涛,李豪,张换吉,丁家保..",01.[12.0 ~ inf),03.[65.0 ~ inf),0
"02.2025-01-13,2025-..",04.[30400.0 ~ 32000.0),02.[1862.0 ~ 2388.0),01.[14.739583333333334 ~ inf),"02.cobb,SZ901PLUS,S..","01.L5,L1,L7,大岭头,大岗垅..","01.50.0,42W,28.0,44..",01.[37.0 ~ 38.0),"02.2025-01-03,2024-..","02.2025-02-20,2024-..","01.G28,G1B,G08,G21,..","01.陈智,余涛,李豪,张换吉,丁家保..",01.[12.0 ~ inf),03.[65.0 ~ inf),0
"01.2024-12-30,2024-..",03.[29400.0 ~ 30400.0),02.[1862.0 ~ 2388.0),01.[14.739583333333334 ~ inf),"02.cobb,SZ901PLUS,S..","02.L6,天门,元岱二,牛苦坑,天河..","05.30W,26/27,65-66,..",01.[37.0 ~ 38.0),"02.2025-01-03,2024-..","01.2025-02-13,2025-..","01.G28,G1B,G08,G21,..","01.陈智,余涛,李豪,张换吉,丁家保..",01.[12.0 ~ inf),03.[65.0 ~ inf),0
"01.2024-12-30,2024-..",04.[30400.0 ~ 32000.0),02.[1862.0 ~ 2388.0),01.[14.739583333333334 ~ inf),"02.cobb,SZ901PLUS,S..","02.L6,天门,元岱二,牛苦坑,天河..","04.28-29,33.0,29.0,..",01.[37.0 ~ 38.0),"02.2025-01-03,2024-..","01.2025-02-13,2025-..","01.G28,G1B,G08,G21,..","01.陈智,余涛,李豪,张换吉,丁家保..",01.[12.0 ~ inf),03.[65.0 ~ inf),0
"01.2024-12-30,2024-..",04.[30400.0 ~ 32000.0),02.[1862.0 ~ 2388.0),01.[14.739583333333334 ~ inf),"02.cobb,SZ901PLUS,S..","02.L6,天门,元岱二,牛苦坑,天河..","04.28-29,33.0,29.0,..",01.[37.0 ~ 38.0),"02.2025-01-03,2024-..","01.2025-02-13,2025-..","01.G28,G1B,G08,G21,..","01.陈智,余涛,李豪,张换吉,丁家保..",01.[12.0 ~ inf),03.[65.0 ~ inf),0
"01.2024-12-30,2024-..",04.[30400.0 ~ 32000.0),02.[1862.0 ~ 2388.0),01.[14.739583333333334 ~ inf),"02.cobb,SZ901PLUS,S..","02.L6,天门,元岱二,牛苦坑,天河..","04.28-29,33.0,29.0,..",01.[37.0 ~ 38.0),"02.2025-01-03,2024-..","01.2025-02-13,2025-..","01.G28,G1B,G08,G21,..","01.陈智,余涛,李豪,张换吉,丁家保..",01.[12.0 ~ inf),03.[65.0 ~ inf),0
"01.2024-12-30,2024-..",04.[30400.0 ~ 32000.0),02.[1862.0 ~ 2388.0),01.[14.739583333333334 ~ inf),"02.cobb,SZ901PLUS,S..","02.L6,天门,元岱二,牛苦坑,天河..","04.28-29,33.0,29.0,..",01.[37.0 ~ 38.0),"02.2025-01-03,2024-..","01.2025-02-13,2025-..","01.G28,G1B,G08,G21,..","01.陈智,余涛,李豪,张换吉,丁家保..",01.[12.0 ~ inf),03.[65.0 ~ inf),1
"02.2025-01-13,2025-..",04.[30400.0 ~ 32000.0),02.[1862.0 ~ 2388.0),01.[14.739583333333334 ~ inf),"02.cobb,SZ901PLUS,S..","01.L5,L1,L7,大岭头,大岗垅..","01.50.0,42W,28.0,44..",01.[37.0 ~ 38.0),"02.2025-01-03,2024-..","02.2025-02-20,2024-..","01.G28,G1B,G08,G21,..","01.陈智,余涛,李豪,张换吉,丁家保..",01.[12.0 ~ inf),03.[65.0 ~ inf),0
"02.2025-01-13,2025-..",01.[26400.0 ~ 28900.0),02.[1862.0 ~ 2388.0),00.[-inf ~ 14.739583333333334),"02.cobb,SZ901PLUS,S..","02.L6,天门,元岱二,牛苦坑,天河..","06.38.0,45W,37W,43W..",01.[37.0 ~ 38.0),"02.2025-01-03,2024-..","02.2025-02-20,2024-..","01.G28,G1B,G08,G21,..","01.陈智,余涛,李豪,张换吉,丁家保..",01.[12.0 ~ inf),03.[65.0 ~ inf),0
"02.2025-01-13,2025-..",01.[26400.0 ~ 28900.0),02.[1862.0 ~ 2388.0),01.[14.739583333333334 ~ inf),"02.cobb,SZ901PLUS,S..","01.L5,L1,L7,大岭头,大岗垅..","06.38.0,45W,37W,43W..",01.[37.0 ~ 38.0),"02.2025-01-03,2024-..","02.2025-02-20,2024-..","01.G28,G1B,G08,G21,..","01.陈智,余涛,李豪,张换吉,丁家保..",01.[12.0 ~ inf),03.[65.0 ~ inf),0
"00.2024-11-01,2024-..",04.[30400.0 ~ 32000.0),02.[1862.0 ~ 2388.0),01.[14.739583333333334 ~ inf),"00.Cobb500,Cobb","00.L4,L3","02.50W,43.0,30-31W,..",01.[37.0 ~ 38.0),"02.2025-01-03,2024-..","01.2025-02-13,2025-..","01.G28,G1B,G08,G21,..","01.陈智,余涛,李豪,张换吉,丁家保..",01.[12.0 ~ inf),03.[65.0 ~ inf),0
"00.2024-11-01,2024-..",04.[30400.0 ~ 32000.0),02.[1862.0 ~ 2388.0),01.[14.739583333333334 ~ inf),"00.Cobb500,Cobb","00.L4,L3","02.50W,43.0,30-31W,..",01.[37.0 ~ 38.0),"02.2025-01-03,2024-..","01.2025-02-13,2025-..","01.G28,G1B,G08,G21,..","01.陈智,余涛,李豪,张换吉,丁家保..",01.[12.0 ~ inf),03.[65.0 ~ inf),0
"00.2024-11-01,2024-..",04.[30400.0 ~ 32000.0),02.[1862.0 ~ 2388.0),01.[14.739583333333334 ~ inf),"00.Cobb500,Cobb","00.L4,L3","02.50W,43.0,30-31W,..",01.[37.0 ~ 38.0),"02.2025-01-03,2024-..","01.2025-02-13,2025-..","01.G28,G1B,G08,G21,..","01.陈智,余涛,李豪,张换吉,丁家保..",01.[12.0 ~ inf),03.[65.0 ~ inf),0
"00.2024-11-01,2024-..",04.[30400.0 ~ 32000.0),02.[1862.0 ~ 2388.0),01.[14.739583333333334 ~ inf),"00.Cobb500,Cobb","00.L4,L3","02.50W,43.0,30-31W,..",01.[37.0 ~ 38.0),"02.2025-01-03,2024-..","01.2025-02-13,2025-..","01.G28,G1B,G08,G21,..","01.陈智,余涛,李豪,张换吉,丁家保..",01.[12.0 ~ inf),03.[65.0 ~ inf),0
"02.2025-01-13,2025-..",01.[26400.0 ~ 28900.0),02.[1862.0 ~ 2388.0),01.[14.739583333333334 ~ inf),"00.Cobb500,Cobb","00.L4,L3","02.50W,43.0,30-31W,..",01.[37.0 ~ 38.0),"02.2025-01-03,2024-..","02.2025-02-20,2024-..","01.G28,G1B,G08,G21,..","01.陈智,余涛,李豪,张换吉,丁家保..",01.[12.0 ~ inf),03.[65.0 ~ inf),0
"02.2025-01-13,2025-..",01.[26400.0 ~ 28900.0),02.[1862.0 ~ 2388.0),01.[14.739583333333334 ~ inf),"00.Cobb500,Cobb","00.L4,L3","02.50W,43.0,30-31W,..",01.[37.0 ~ 38.0),"02.2025-01-03,2024-..","02.2025-02-20,2024-..","01.G28,G1B,G08,G21,..","01.陈智,余涛,李豪,张换吉,丁家保..",01.[12.0 ~ inf),03.[65.0 ~ inf),0
"02.2025-01-13,2025-..",00.[-inf ~ 26400.0),00.[-inf ~ 1802.88),00.[-inf ~ 14.739583333333334),"02.cobb,SZ901PLUS,S..","01.L5,L1,L7,大岭头,大岗垅..","01.50.0,42W,28.0,44..",01.[37.0 ~ 38.0),"02.2025-01-03,2024-..","02.2025-02-20,2024-..","01.G28,G1B,G08,G21,..","02.杨文杰,刘乾乾,高阳阳,杨健健,..",01.[12.0 ~ inf),03.[65.0 ~ inf),0
"02.2025-01-13,2025-..",00.[-inf ~ 26400.0),00.[-inf ~ 1802.88),00.[-inf ~ 14.739583333333334),"02.cobb,SZ901PLUS,S..","01.L5,L1,L7,大岭头,大岗垅..","01.50.0,42W,28.0,44..",01.[37.0 ~ 38.0),"02.2025-01-03,2024-..","02.2025-02-20,2024-..","01.G28,G1B,G08,G21,..","02.杨文杰,刘乾乾,高阳阳,杨健健,..",01.[12.0 ~ inf),03.[65.0 ~ inf),0
"02.2025-01-13,2025-..",01.[26400.0 ~ 28900.0),02.[1862.0 ~ 2388.0),00.[-inf ~ 14.739583333333334),"02.cobb,SZ901PLUS,S..","01.L5,L1,L7,大岭头,大岗垅..","01.50.0,42W,28.0,44..",01.[37.0 ~ 38.0),"02.2025-01-03,2024-..","02.2025-02-20,2024-..","01.G28,G1B,G08,G21,..","02.杨文杰,刘乾乾,高阳阳,杨健健,..",01.[12.0 ~ inf),03.[65.0 ~ inf),0
"02.2025-01-13,2025-..",01.[26400.0 ~ 28900.0),02.[1862.0 ~ 2388.0),00.[-inf ~ 14.739583333333334),"02.cobb,SZ901PLUS,S..","01.L5,L1,L7,大岭头,大岗垅..","01.50.0,42W,28.0,44..",01.[37.0 ~ 38.0),"02.2025-01-03,2024-..","02.2025-02-20,2024-..","01.G28,G1B,G08,G21,..","02.杨文杰,刘乾乾,高阳阳,杨健健,..",01.[12.0 ~ inf),03.[65.0 ~ inf),0
"02.2025-01-13,2025-..",01.[26400.0 ~ 28900.0),02.[1862.0 ~ 2388.0),00.[-inf ~ 14.739583333333334),"02.cobb,SZ901PLUS,S..","01.L5,L1,L7,大岭头,大岗垅..","01.50.0,42W,28.0,44..",01.[37.0 ~ 38.0),"02.2025-01-03,2024-..","02.2025-02-20,2024-..","01.G28,G1B,G08,G21,..","02.杨文杰,刘乾乾,高阳阳,杨健健,..",01.[12.0 ~ inf),03.[65.0 ~ inf),0
"02.2025-01-13,2025-..",01.[26400.0 ~ 28900.0),02.[1862.0 ~ 2388.0),01.[14.739583333333334 ~ inf),"00.Cobb500,Cobb","01.L5,L1,L7,大岭头,大岗垅..","03.41W,57.0,44-45,4..",00.[-inf ~ 37.0),"02.2025-01-03,2024-..","02.2025-02-20,2024-..","01.G28,G1B,G08,G21,..","02.杨文杰,刘乾乾,高阳阳,杨健健,..",01.[12.0 ~ inf),03.[65.0 ~ inf),0
"02.2025-01-13,2025-..",00.[-inf ~ 26400.0),00.[-inf ~ 1802.88),01.[14.739583333333334 ~ inf),"00.Cobb500,Cobb","01.L5,L1,L7,大岭头,大岗垅..","03.41W,57.0,44-45,4..",01.[37.0 ~ 38.0),"02.2025-01-03,2024-..","02.2025-02-20,2024-..","01.G28,G1B,G08,G21,..","02.杨文杰,刘乾乾,高阳阳,杨健健,..",01.[12.0 ~ inf),03.[65.0 ~ inf),0
"02.2025-01-13,2025-..",00.[-inf ~ 26400.0),00.[-inf ~ 1802.88),01.[14.739583333333334 ~ inf),"00.Cobb500,Cobb","01.L5,L1,L7,大岭头,大岗垅..","03.41W,57.0,44-45,4..",01.[37.0 ~ 38.0),"02.2025-01-03,2024-..","02.2025-02-20,2024-..","01.G28,G1B,G08,G21,..","02.杨文杰,刘乾乾,高阳阳,杨健健,..",01.[12.0 ~ inf),03.[65.0 ~ inf),0
"02.2025-01-13,2025-..",00.[-inf ~ 26400.0),00.[-inf ~ 1802.88),01.[14.739583333333334 ~ inf),"00.Cobb500,Cobb","01.L5,L1,L7,大岭头,大岗垅..","03.41W,57.0,44-45,4..",01.[37.0 ~ 38.0),"02.2025-01-03,2024-..","02.2025-02-20,2024-..","01.G28,G1B,G08,G21,..","02.杨文杰,刘乾乾,高阳阳,杨健健,..",01.[12.0 ~ inf),03.[65.0 ~ inf),0
"02.2025-01-13,2025-..",00.[-inf ~ 26400.0),00.[-inf ~ 1802.88),01.[14.739583333333334 ~ inf),"00.Cobb500,Cobb","01.L5,L1,L7,大岭头,大岗垅..","03.41W,57.0,44-45,4..",01.[37.0 ~ 38.0),"02.2025-01-03,2024-..","02.2025-02-20,2024-..","01.G28,G1B,G08,G21,..","02.杨文杰,刘乾乾,高阳阳,杨健健,..",01.[12.0 ~ inf),03.[65.0 ~ inf),0
"00.2024-11-01,2024-..",01.[26400.0 ~ 28900.0),00.[-inf ~ 1802.88),01.[14.739583333333334 ~ inf),"00.Cobb500,Cobb","00.L4,L3","01.50.0,42W,28.0,44..",01.[37.0 ~ 38.0),"00.2025-01-09,2025-..","00.2024-12-09,2025-..","01.G28,G1B,G08,G21,..","02.杨文杰,刘乾乾,高阳阳,杨健健,..",01.[12.0 ~ inf),03.[65.0 ~ inf),0
"00.2024-11-01,2024-..",00.[-inf ~ 26400.0),00.[-inf ~ 1802.88),01.[14.739583333333334 ~ inf),"00.Cobb500,Cobb","00.L4,L3","01.50.0,42W,28.0,44..",01.[37.0 ~ 38.0),"00.2025-01-09,2025-..","00.2024-12-09,2025-..","01.G28,G1B,G08,G21,..","02.杨文杰,刘乾乾,高阳阳,杨健健,..",01.[12.0 ~ inf),03.[65.0 ~ inf),0
"00.2024-11-01,2024-..",00.[-inf ~ 26400.0),00.[-inf ~ 1802.88),01.[14.739583333333334 ~ inf),"00.Cobb500,Cobb","00.L4,L3","01.50.0,42W,28.0,44..",01.[37.0 ~ 38.0),"00.2025-01-09,2025-..","00.2024-12-09,2025-..","01.G28,G1B,G08,G21,..","02.杨文杰,刘乾乾,高阳阳,杨健健,..",01.[12.0 ~ inf),03.[65.0 ~ inf),0
"00.2024-11-01,2024-..",00.[-inf ~ 26400.0),00.[-inf ~ 1802.88),01.[14.739583333333334 ~ inf),"00.Cobb500,Cobb","00.L4,L3","01.50.0,42W,28.0,44..",01.[37.0 ~ 38.0),"00.2025-01-09,2025-..","00.2024-12-09,2025-..","01.G28,G1B,G08,G21,..","02.杨文杰,刘乾乾,高阳阳,杨健健,..",01.[12.0 ~ inf),03.[65.0 ~ inf),0
"00.2024-11-01,2024-..",00.[-inf ~ 26400.0),00.[-inf ~ 1802.88),01.[14.739583333333334 ~ inf),"00.Cobb500,Cobb","00.L4,L3","01.50.0,42W,28.0,44..",01.[37.0 ~ 38.0),"00.2025-01-09,2025-..","00.2024-12-09,2025-..","01.G28,G1B,G08,G21,..","02.杨文杰,刘乾乾,高阳阳,杨健健,..",01.[12.0 ~ inf),03.[65.0 ~ inf),0
"00.2024-11-01,2024-..",00.[-inf ~ 26400.0),00.[-inf ~ 1802.88),01.[14.739583333333334 ~ inf),"00.Cobb500,Cobb","00.L4,L3","02.50W,43.0,30-31W,..",01.[37.0 ~ 38.0),"00.2025-01-09,2025-..","00.2024-12-09,2025-..","01.G28,G1B,G08,G21,..","02.杨文杰,刘乾乾,高阳阳,杨健健,..",01.[12.0 ~ inf),03.[65.0 ~ inf),0
"00.2024-11-01,2024-..",00.[-inf ~ 26400.0),00.[-inf ~ 1802.88),01.[14.739583333333334 ~ inf),"00.Cobb500,Cobb","00.L4,L3","02.50W,43.0,30-31W,..",01.[37.0 ~ 38.0),"00.2025-01-09,2025-..","00.2024-12-09,2025-..","01.G28,G1B,G08,G21,..","02.杨文杰,刘乾乾,高阳阳,杨健健,..",01.[12.0 ~ inf),03.[65.0 ~ inf),0
